Japanese,English
あくどい,Rustling
あざ笑う,Make a laugh
あっさり,Simple
あべこべ,Abekobe
あやふや,Ayafuya
あら,fault
あられ,Hailstone
いい加減,Sloppy
いく,go
いざ,Now
いっそ,Someday
いやに,Unpleasant
うんざり,fed up
えい,ray
おおい,Oi
おっかない,scary
おどおど,Eagle
お世辞,flattery
お休み,Good night
お使い,errand
お供,Accompaniment
お先に,First of all
お八,Eight
お出でになる,Be out
お喋り,chat
お大事に,take care
お宮,Palace
お巡りさん,policeman
お手上げ,Giving up
お早う,good morning
お洒落,Stylish
お産,Giving birth
お目出度う,Look out
お祖母さん,grandmother
お祖父さん,grandfather
お菜,Vegetable
お蔭,Guarantee
お蔭様で,Thank you
お襁褓,お
お邪魔します,Excuse me
お願いします,please
かも知れない,May
がっくり,Sincerely
がっしり,Steadily
がっちり,Firmly
がる,Be overwhelmed
きちっと,Exactly
きっかり,exactly
きっちり,Exactly
きっぱり,Completely
くっきり,clearly
くっ付く,Stick to
くっ付ける,Attach
ぐっと,much
ぐらい,about
けれど,But
げっそり,Blurred
こだわる,Stick to
この間,During this time
この頃,These days
ご座います,I will sit down
ご無沙汰,Unprecedented
ご苦労様,Good job
ご馳走,feast
ご馳走さま,Feast
さっと,suddenly
さん,Mr. Miss.
し,death
しいんと,Shiin
しくじる,Bogus
しぶとい,Clearly
しまった,Oops
しょっちゅう,Slowly
じっくり,Carefully
じゃん拳,Fabric
すばしこい,Surprisingly
すれ違う,Be passed by
すんなり,Smooth
ずばり,Forever
ずぶ濡れ,soaked
ずらっと,In a row
ずるずる,Sloppy
ずれ,Gap
ずれる,Shift
その上,over it
その内,Within that
その外,Outside it
その為,For that reason
ぞんざい,Sloppy
たった,only
だぶだぶ,Paddy
だらけ,full of
ちやほや,Chiyahoya
ちょくちょく,often
ちらっと,Glance
てっきり,Clearly
てんで,In
でかい,huge
と,and
とんだ,Blown
どうぞ宜しく,Please do so
どうにか,Somehow
どうやら,Apparently
なんか,Something
なんだかんだ,Somehow
にも拘らず,Despite
ねじ回し,screwdriver
ばてる,Be overwhelmed
ひょっと,Oral
びっしょり,drenched
