Japanese,English
題名,Title
でたらめ,Lame
目上,superior
成分,component
サイレン,siren
毛糸,Yarn
酌む,Take a drink
中世,middle ages
雨戸,Shutter
矢印,Arrow
御中,Middle
目安,rough indication
架空,Fictional
詰まる,Be clogged
売行き,sales
民謡,Folk song
発つ,Embrace
真っ暗,Completely dark
ぜひとも,By all means
小学生,Elementary school student
手入れ,maintenance
文献,Literature
休業,Closed
軟らかい,soft
呼び掛ける,Call out
意義,significance
蒸し暑い,humid
殖える,Grow
基準,standard
先端,Tip
中性,neutral
比較的,Relatively
書籍,Book
芯,core
琴,Koto
お代わり,Second helping
卸す,Wholesale
ブラシ,brush
ふざける,Play with
基盤,basis
先々週,Last week
響く,Resonate
真っ黒,Black
水平,Horizon
危うい,Inexperienced
着々,steadily
記号,symbol
催促,Reminder
平気,Calm
学級,class
制作,Production
特売,Special sale
休講,Resting
おかず,Side dish
鉱物,mineral
山林,Forest
粒,grain
速達,express
ずらり,Sloppy
必需品,Necessities
農薬,Pesticide
鳴らす,Ring
女の人,woman
余計,Extra
大通り,Main street
改造,Remodeling
大小,Large and small
ウール,wool
妥当,Reasonable
整備,Maintenance
曲線,curve
ロッカー,locker
四季,Four seasons
そのうえ,More
蕎麦,Soba noodles
機関車,Locomotive
留守番,Caretaker
美容,Beauty
対照,Contrast
学会,Society
木材,wood
従姉妹,Cousin
論ずる,Discuss
ゆでる,Boil
スタート,start
ごぞんじですか,Do you know it
味わう,taste
校庭,Schoolyard
殻,shell
碁,Go
学年,School year
仮定,Assumption
大して,much
広さ,Breadth
ポスター,Poster
やっつける,kick ass
終了,end
三日月,Crescent Moon
飾り,decoration
塊,mass
紙幣,bill
蘇る,Be revived
道順,Road order
盗難,theft
講師,Teacher
思いっ切り,Inexperienced
助かる,Be helpful
生意気,Saucy
堅い,hard
アンテナ,antenna
折角,Corner
パターン,pattern
ひとまず,for now
謙虚,Humility
憎らしい,hateful
太鼓,drum
調味料,seasoning
並木,Row of trees
耕す,Plow
海洋,Ocean
定員,Capacity
混合,mixture
採る,take
汚す,Be dirty
水滴,Droplet
鉄砲,gun
寮,Dormitory
書留,Registered mail
花嫁,bride
錆,rust
反省,introspection
新幹線,bullet train
くれぐれも,So much
怠る,Be neglected
おととし,Adult
モノレール,monorail
納める,Put in
乾電池,Dry battery
同格,Same rank
南北,South -south
おきのどくに,In a long time
時間割,Timetable
そうして,So
干す,dry
人命,Human life
こんばんは,Good evening
ペンチ,pliers
炒る,roast
刷る,print
反る,Be warped
転がす,roll
小指,little finger
清い,pure
蓄える,store
大層,Large layer
実績,achievement
